0.005,80.0
0.01,54.5
0.015,54.0
0.02,53.3
0.025,52.8
0.03,53.2
0.035,53.3
0.04,53.2
0.045,53.7
0.05,53.1
0.055,53.0
0.06,53.7
0.065,55.9
0.07,53.8
0.075,52.8
0.08,52.6
0.085,52.9
0.09,52.9
0.095,52.6
0.1,52.7
0.105,53.2
0.11,53.0
0.115,53.5
0.12,53.3
0.125,53.3
0.13,56.5
0.135,56.3
0.14,56.2
0.145,52.3
0.15,53.1
0.155,52.6
0.16,52.7
0.165,52.5
0.17,53.8
0.175,54.0
0.18,53.2
0.185,54.7
0.19,53.4
0.195,53.4
0.2,53.3
0.205,53.6
0.21,53.8
0.215,54.1
0.22,53.4
0.225,53.7
0.23,53.5
0.235,53.7
0.24,53.7
0.245,54.0
0.25,53.8
