MergeSort: with insurance comparison,true,true,false,128000,81546,50,37.47255336,3.143198203242784,4374965,1063,2.906,1898496,1.261,112213,317,0.075,2023659,288,1.344
MergeSort: with insurance comparison with no copy,true,true,true,128000,81546,50,36.738995960000004,3.0816674001639455,4374965,1063,2.906,1898496,1.261,112213,317,0.075,2023659,288,1.344
QuickSort dual pivot,true,false,false,128000,81546,50,30.609833440000003,2.5675531780780916,7037767,301532,4.675,0,0.000,1083168,60579,0.720,2657879,89442,1.766
Heapsort,true,false,false,128000,81546,50,48.01795844,4.027746901632397,16130199,1644,10.716,0,0.000,2057947,267,1.367,3949205,339,2.624
MergeSort:,true,false,false,256000,303172,24,90.322371625,3.5588674202771124,9261472,1348,2.905,4052992,1.271,224311,395,0.070,4303244,387,1.350
MergeSort: with no copy,true,false,true,256000,303172,24,87.123218875,3.432814923098068,9261472,1348,2.905,4052992,1.271,224311,395,0.070,4303244,387,1.350
MergeSort: with insurance comparison,true,true,false,256000,303172,24,88.15722054166667,3.473556488867513,9261472,1348,2.905,4052992,1.271,224311,395,0.070,4303244,387,1.350
MergeSort: with insurance comparison with no copy,true,true,true,256000,303172,24,85.97086983333332,3.3874102532760455,9261472,1348,2.905,4052992,1.271,224311,395,0.070,4303244,387,1.350
QuickSort dual pivot,true,false,false,256000,303172,24,71.54747908333333,2.819102153005862,15107394,517150,4.739,0,0.000,2344365,95916,0.735,5666102,183715,1.777
Heapsort,true,false,false,256000,303172,24,114.95797570833334,4.529555492054378,34308435,1909,10.762,0,0.000,4371927,320,1.371,8410363,407,2.638
