sorter,instrumented,insurance,nocopy,nWords,wordLength,nRuns,rawTime,normTime,hitsMean,hitsStdev,hitsNorm,copies,copiesNorm,swapsMean,swapsStdev,swapsNorm,comparesMean,comparesStdev,comparesNorm,sortAlgo
MergeSort: with no copy,True,False,True,64000,81546,108,19.76310614814815,3.543729969211592,2059450.0,747.0,2.908,885248.0,1.25,56098.0,219.0,0.079,947829.0,185.0,1.338,MergeSort
MergeSort: with insurance comparison,True,True,False,64000,81546,108,20.767520509259256,3.723831884684503,2059450.0,747.0,2.908,885248.0,1.25,56098.0,219.0,0.079,947829.0,185.0,1.338,MergeSort
MergeSort: with insurance comparison with no copy,True,True,True,64000,81546,108,17.922232685185186,3.2136422587410665,2059450.0,747.0,2.908,885248.0,1.25,56098.0,219.0,0.079,947829.0,185.0,1.338,MergeSort
QuickSort dual pivot,True,False,False,64000,81546,108,15.671785472222222,2.810113725679333,3319202.0,118936.0,4.686,0.0,0.0,516193.0,25944.0,0.729,1239156.0,44906.0,1.75,QuickSort
Heapsort,True,False,False,64000,81546,108,22.85272837037037,4.097731287645887,7553205.0,1194.0,10.664,0.0,0.0,964997.0,190.0,1.362,1846608.0,244.0,2.607,HeapSort
MergeSort:,True,False,False,128000,81546,50,43.3463873,3.635895461126,4374965.0,1063.0,2.906,1898496.0,1.261,112213.0,317.0,0.075,2023659.0,288.0,1.344,MergeSort
MergeSort: with no copy,True,False,True,128000,81546,50,38.95200586,3.267294695817184,4374965.0,1063.0,2.906,1898496.0,1.261,112213.0,317.0,0.075,2023659.0,288.0,1.344,MergeSort
MergeSort: with insurance comparison,True,True,False,128000,81546,50,37.47255336,3.143198203242784,4374965.0,1063.0,2.906,1898496.0,1.261,112213.0,317.0,0.075,2023659.0,288.0,1.344,MergeSort
MergeSort: with insurance comparison with no copy,True,True,True,128000,81546,50,36.73899596,3.081667400163945,4374965.0,1063.0,2.906,1898496.0,1.261,112213.0,317.0,0.075,2023659.0,288.0,1.344,MergeSort
QuickSort dual pivot,True,False,False,128000,81546,50,30.609833440000003,2.567553178078092,7037767.0,301532.0,4.675,0.0,0.0,1083168.0,60579.0,0.72,2657879.0,89442.0,1.766,QuickSort
Heapsort,True,False,False,128000,81546,50,48.01795844,4.027746901632397,16130199.0,1644.0,10.716,0.0,0.0,2057947.0,267.0,1.367,3949205.0,339.0,2.624,HeapSort
MergeSort:,True,False,False,256000,303172,24,90.322371625,3.5588674202771124,9261472.0,1348.0,2.905,4052992.0,1.271,224311.0,395.0,0.07,4303244.0,387.0,1.35,MergeSort
MergeSort: with no copy,True,False,True,256000,303172,24,87.123218875,3.432814923098068,9261472.0,1348.0,2.905,4052992.0,1.271,224311.0,395.0,0.07,4303244.0,387.0,1.35,MergeSort
MergeSort: with insurance comparison,True,True,False,256000,303172,24,88.15722054166667,3.473556488867513,9261472.0,1348.0,2.905,4052992.0,1.271,224311.0,395.0,0.07,4303244.0,387.0,1.35,MergeSort
MergeSort: with insurance comparison with no copy,True,True,True,256000,303172,24,85.97086983333332,3.387410253276045,9261472.0,1348.0,2.905,4052992.0,1.271,224311.0,395.0,0.07,4303244.0,387.0,1.35,MergeSort
QuickSort dual pivot,True,False,False,256000,303172,24,71.54747908333333,2.819102153005862,15107394.0,517150.0,4.739,0.0,0.0,2344365.0,95916.0,0.735,5666102.0,183715.0,1.777,QuickSort
Heapsort,True,False,False,256000,303172,24,114.95797570833334,4.529555492054378,34308435.0,1909.0,10.762,0.0,0.0,4371927.0,320.0,1.371,8410363.0,407.0,2.638,HeapSort
