No of steps,Avg Distance
64,5.915150342128502
33,4.963556106920036
26,3.7257590520313015
98,9.198399637165455
190,13.640682296420255
22,4.445953723012097
146,10.247882416996
95,8.242977123832864
154,11.47454054632801
107,8.610532483792968
72,8.087310052238255
48,5.139172830827693
151,10.809139370722255
125,9.155658575112241
28,5.123500607905087
42,5.79423873907531
101,7.458838610705562
177,12.700469917652084
100,7.075139591552839
152,12.307225854440597
